순위,가수이름,노래제목
1,AKMU (악뮤),Love Lee
2,AKMU (악뮤),후라이의 꿈
3,제니 (JENNIE),You & Me
4,"다이나믹 듀오, 이영지","Smoke (Prod. Dynamicduo, Padi)"
5,정국,Seven (feat. Latto) - Clean Ver.
6,임영웅,Do or Die
7,NewJeans,Super Shy
8,IVE (아이브),Either Way
9,NewJeans,ETA
10,전소미,Fast Forward
11,화사 (HWASA),I Love My Body
12,우디 (Woody),사막에서 꽃을 피우듯
13,박재정,헤어지자 말해요
14,임영웅,사랑은 늘 도망가
15,IVE (아이브),I AM
16,RIIZE,Get A Guitar
17,임영웅,모래 알갱이
18,STAYC(스테이씨),Bubble
19,임영웅,우리들의 블루스
20,임영웅,다시 만날 수 있을까
21,(여자)아이들,퀸카 (Queencard)
22,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
23,정국,Still With You
24,임영웅,무지개
25,임영웅,이제 나만 믿어요
26,정국,3D (feat. Jack Harlow)
27,임영웅,London Boy
28,NCT 127,Fact Check (불가사의; 不可思議)
29,Lauv,Steal The Show (From “엘리멘탈”)
30,임영웅,Polaroid
31,임영웅,아버지
32,NewJeans,Hype boy
33,임영웅,인생찬가
34,임영웅,A bientot
35,aespa,Spicy
36,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
37,NewJeans,Ditto
38,IVE (아이브),Kitsch
39,임영웅,연애편지
40,IVE (아이브),Off The Record
41,Paul Blanco,Summer (Feat. BE’O (비오))
42,ITZY (있지),CAKE
43,NewJeans,New Jeans
44,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
45,윤하 (YOUNHA),사건의 지평선
46,BIG Naughty (서동현),Vancouver 2
47,V,Love Me Again
48,성시경,너의 모든 순간
49,이세계아이돌,KIDDING
50,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
51,IVE (아이브),After LIKE
52,디오 (D.O.),별 떨어진다 (I Do)
53,탑현,나에게 그대만이
54,멜로망스,사랑인가 봐
55,Charlie Puth,I Don't Think That I Like Her
56,DK(디셈버),심(心)
57,IVE (아이브),I WANT
58,방탄소년단,Dynamite
59,NewJeans,OMG
60,IVE (아이브),LOVE DIVE
61,디오 (D.O.),Somebody
62,NewJeans,Attention
63,임한별,사랑하지 않아서 그랬어
64,V,Slow Dancing
65,NCT U,Baggy Jeans
66,잔나비,주저하는 연인들을 위해
67,허각,물론
68,세븐틴 (SEVENTEEN),손오공
69,Charlie Puth,Dangerously
70,김민석 (멜로망스),취중고백
71,dori,밤 (Night)
72,NCT 127,무중력 (Space)
73,방탄소년단,Butter
74,지수 (JISOO),꽃
75,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
76,방탄소년단,봄날
77,"경서예지, 전건호",다정히 내 이름을 부르면
78,"김연지, DK(디셈버)",미친 사랑의 노래
79,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
80,우효,민들레 (single ver.)
81,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
82,STAYC(스테이씨),Teddy Bear
83,Crush,Click Like (Prod. Crush) (Feat. Paul Blanco)
84,NCT 127,Angel Eyes
85,V,Rainy Days
86,#안녕,해요 (2022)
87,NewJeans,Cool With You
88,케이시 (Kassy),사실말야내가말야그게그러니까말이야
89,지민,Like Crazy
90,바이브,가을 타나 봐
91,"The Kid LAROI, Justin Bieber",STAY
92,aespa,Better Things
93,NCT 127,Parade (행진)
94,Agust D,사람 Pt.2 (feat. 아이유)
95,Yyeon,이제 우리 꿈에서만 만나
96,영탁,폼미쳤다
97,LE SSERAFIM (르세라핌),ANTIFRAGILE
98,"Zac Efron, Zendaya",Rewrite The Stars
99,NCT 127,Yacht
100,방탄소년단,Take Two
