,메뉴,가격
0,유린기,"6,600"
1,송정식 떡갈비,"6,900"
2,크룽지+페루 찬차마요 드립백 커피,"2,900"
3,크룽지,"1,900"
4,빅새치마요,"4,600"
5,새치마요,"4,000"
6,한우 함박스테이크&돈까스,"8,900"
7,한우 함박스테이크&토네이도 소세지,"8,900"
8,해바라기,"10,000"
9,매화,"10,500"
10,진달래,"7,800"
11,개나리,"8,500"
12,돈까스도련님고기고기,"6,500"
13,탕수육도련님고기고기,"6,000"
14,새치 고기고기,"7,000"
15,돈치 고기고기,"6,000"
16,카츠카츠,"4,800"
17,숯불직화구이,"6,600"
18,소불고기,"5,500"
19,메가치킨제육,"7,500"
20,칠리 찹쌀탕수육도련님,"4,400"
21,동백,"6,000"
22,치킨제육,"4,900"
23,돈까스도련님,"4,800"
24,제육볶음,"4,500"
25,돈치스팸,"5,000"
26,제육 김치찌개 정식,"8,600"
27,제육 김치 부대찌개 정식,"9,000"
28,돈치스팸 김치 부대찌개 정식,"9,000"
29,빅치킨마요 김치 부대찌개 정식,"8,000"
30,치킨마요 김치 부대찌개 정식,"7,400"
31,빅치킨마요 김치찌개 정식,"7,500"
32,치킨마요 김치찌개 정식,"6,900"
33,메가스팸마요,"5,800"
34,스팸마요,"3,900"
35,메가치킨마요,"6,000"
36,왕치킨마요,"5,000"
37,빅치킨마요,"4,300"
38,치킨마요,"3,700"
39,참치마요,"3,500"
40,돈치마요,"4,000"
41,돈까스 카레,"4,700"
42,잡채볶음밥(중화풍 매운맛),"5,500"
43,잡채볶음밥(오리지널),"5,300"
44,스팸 김치볶음밥,"4,700"
45,김치볶음밥,"3,900"
46,스팸 철판볶음밥,"4,700"
47,소불고기 철판볶음밥,"4,900"
48,나시고랭,"6,200"
49,묵은지 김치찌개,"4,900"
50,김치 부대찌개,"6,000"
51,핫 치즈 닭갈비덮밥,"5,900"
52,오리지널 치즈 닭갈비덮밥,"5,900"
53,숯불직화구이 덮밥,"6,000"
54,마파두부 덮밥,"5,000"
55,왕카레돈까스덮밥,"6,000"
56,새우돈까스 덮밥,"4,200"
57,돈까스 덮밥,"4,100"
58,아보카도 훈제 닭가슴살 명란 비빔밥,"6,500"
59,아보카도 소불고기 명란 비빔밥,"6,500"
60,소불고기 감초고추장 비빔밥,"5,400"
61,시골제육 두부강된장 비빔밥,"5,200"
62,참치야채 감초고추장 비빔밥,"3,500"
63,튼튼도시락,"5,000"
64,반찬 묵은지김치찌개,"4,400"
65,반찬 카레,"2,900"
66,반찬 순살 고등어 간장구이,"3,900"
67,반찬 김치 부대찌개,"4,900"
68,반찬 치킨,"3,800"
69,반찬 고기고기,"3,600"
70,반찬 돈까스도련님,"4,100"
71,반찬 제육볶음,"3,500"
72,반찬 토네이도 소세지,"3,200"
73,반찬 돈까스,"2,900"
74,치즈버터 해시 포테이토 스틱,"2,200"
75,허니버터 해시 포테이토 스틱,"2,200"
76,해시 포테이토 스틱,"2,000"
77,뉴 감자고로케,"2,700"
78,미니 찹쌀핫도그,"2,800"
79,미니 찹쌀탕수육,"2,200"
80,케이준후라이,"1,900"
81,통현미 닭강정(소),"3,500"
82,통현미 닭강정(중),"8,500"
83,후라이드 순살(중),"7,500"
84,후라이드 순살(소)_양념치킨소스,"4,000"
85,후라이드 순살(소)_케이준소스,"4,000"
86,3종 미니반찬B,"1,300"
87,3종 미니반찬A,"1,300"
88,오징어젓갈,600
89,한솥 두부강된장소스,"1,800"
90,한솥 감초볶음고추장소스,500
91,볶음김치,500
92,김치,400
93,무말랭이 무침,500
94,한솥밥,"1,000"
95,현미밥,"1,700"
96,리얼 티라미수 찰떡,"1,700"
97,리얼꿀 미니호떡,"2,200"
